,Instrument,Insider Full Name,Insider Role Type,Insider Shares Traded (Adjusted),Insider Transaction Type,Insider Transaction Type(Short),Insider Transaction Price,Insider Shares Traded (As Reported),Insider Transaction Date
0,AMZN.O,Selipsky (Adam),Officer,-35,Open market or private sale of non-derivative or derivative security,Open Market Sale,3270.0,-35,2022-01-06
1,AMZN.O,Selipsky (Adam),Officer,-34,Open market or private sale of non-derivative or derivative security,Open Market Sale,3337.66,-34,2022-01-05
2,AMZN.O,Selipsky (Adam),Officer,-35,Open market or private sale of non-derivative or derivative security,Open Market Sale,3357.01,-35,2021-12-21
3,AMZN.O,Selipsky (Adam),Officer,-34,Open market or private sale of non-derivative or derivative security,Open Market Sale,3337.0,-34,2021-12-20
4,AMZN.O,Selipsky (Adam),Officer,-10531,Bona fide gift,Gift,0.0,-10531,2021-12-03
5,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-35,Open market or private sale of non-derivative or derivative security,Open Market Sale,3455.0,-35,2021-12-03
6,AMZN.O,Selipsky (Adam),Officer,-55305,Bona fide gift,Gift,0.0,-55305,2021-12-02
7,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-34,Open market or private sale of non-derivative or derivative security,Open Market Sale,3460.0,-34,2021-12-02
8,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-34904,Bona fide gift,Gift,0.0,-34904,2021-12-01
9,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-37233,Bona fide gift,Gift,0.0,-37233,2021-11-30
10,AMZN.O,Mcgrath Judith A,Director,-28,Bona fide gift,Gift,0.0,-28,2021-11-29
11,AMZN.O,Jassy (Andrew R),Officer and Director,-492,Open market or private sale of non-derivative or derivative security,Open Market Sale,3676.0,-492,2021-11-22
12,AMZN.O,Clark (David H),Officer,-105,Open market or private sale of non-derivative or derivative security,Open Market Sale,3676.0,-105,2021-11-22
13,AMZN.O,Jassy (Andrew R),Officer and Director,1250,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1250,2021-11-21
14,AMZN.O,Clark (David H),Officer,190,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,190,2021-11-21
15,AMZN.O,Rubinstein (Jonathan J),Director,-23296,Bona fide gift,Gift,0.0,-23296,2021-11-18
16,AMZN.O,Huttenlocher (Daniel P),Director,-140,Bona fide gift,Gift,0.0,-140,2021-11-18
17,AMZN.O,Gorelick (Jamie S),Director,-271,Open market or private sale of non-derivative or derivative security,Open Market Sale,3700.0,-271,2021-11-18
18,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-86,Open market or private sale of non-derivative or derivative security,Open Market Sale,3563.61,-86,2021-11-18
19,AMZN.O,Clark (David H),Affiliated Person,,,,,,2021-11-17
20,AMZN.O,Zapolsky David,Affiliated Person,,,,,,2021-11-17
21,AMZN.O,Reynolds (Shelley L),Affiliated Person,-29,Bona fide gift,Gift,0.0,-29,2021-11-17
22,AMZN.O,Zapolsky David,Officer,-139,Open market or private sale of non-derivative or derivative security,Open Market Sale,3564.72,-139,2021-11-17
23,AMZN.O,Zapolsky David,Officer,,,,,,2021-11-17
24,AMZN.O,Selipsky (Adam),Officer,-34,Open market or private sale of non-derivative or derivative security,Open Market Sale,3539.0,-34,2021-11-16
25,AMZN.O,Selipsky (Adam),Officer,172,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,172,2021-11-15
26,AMZN.O,Selipsky (Adam),Officer,172,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,172,2021-11-15
27,AMZN.O,Selipsky (Adam),Officer,172,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,172,2021-11-15
28,AMZN.O,Jassy (Andrew R),Officer and Director,-222,Open market or private sale of non-derivative or derivative security,Open Market Sale,3537.0,-222,2021-11-15
29,AMZN.O,Jassy (Andrew R),Officer and Director,222,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,222,2021-11-15
30,AMZN.O,Jassy (Andrew R),Officer and Director,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3537.06,-200,2021-11-15
31,AMZN.O,Jassy (Andrew R),Officer and Director,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3536.19,-300,2021-11-15
32,AMZN.O,Jassy (Andrew R),Officer and Director,-224,Open market or private sale of non-derivative or derivative security,Open Market Sale,3535.04,-224,2021-11-15
33,AMZN.O,Clark (David H),Officer,-124,Open market or private sale of non-derivative or derivative security,Open Market Sale,3533.14,-124,2021-11-15
34,AMZN.O,Clark (David H),Officer,2153,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,2153,2021-11-15
35,AMZN.O,Zapolsky David,Officer,-954,Open market or private sale of non-derivative or derivative security,Open Market Sale,3537.0,-954,2021-11-15
36,AMZN.O,Zapolsky David,Officer,1060,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1060,2021-11-15
37,AMZN.O,Olsavsky (Brian T.),Officer,172,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,172,2021-11-15
38,AMZN.O,Olsavsky (Brian T.),Officer,-910,Open market or private sale of non-derivative or derivative security,Open Market Sale,3537.0,-910,2021-11-15
39,AMZN.O,Reynolds (Shelley L),Officer,1060,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1060,2021-11-15
40,AMZN.O,Reynolds (Shelley L),Officer,96,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,96,2021-11-15
41,AMZN.O,Ryder (Thomas O),Director,-201,Open market or private sale of non-derivative or derivative security,Open Market Sale,3536.17,-201,2021-11-15
42,AMZN.O,Stonesifer (Patricia Q),Director,-334,Open market or private sale of non-derivative or derivative security,Open Market Sale,3534.64,-334,2021-11-15
43,AMZN.O,Huttenlocher (Daniel P),Director,-177,Open market or private sale of non-derivative or derivative security,Open Market Sale,3533.3,-177,2021-11-15
44,AMZN.O,Rubinstein (Jonathan J),Director,-785,Open market or private sale of non-derivative or derivative security,Open Market Sale,3537.0,-785,2021-11-15
45,AMZN.O,Alexander (Keith Brian),Director,1426,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1426,2021-11-15
46,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2190,Bona fide gift,Gift,0.0,-2190,2021-11-10
47,AMZN.O,Gorelick (Jamie S),Director,-14093,Bona fide gift,Gift,0.0,-14093,2021-11-09
48,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-818,Bona fide gift,Gift,0.0,-818,2021-11-09
49,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3497.88,-200,2021-11-04
50,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1101,Open market or private sale of non-derivative or derivative security,Open Market Sale,3496.98,-1101,2021-11-04
51,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1616,Open market or private sale of non-derivative or derivative security,Open Market Sale,3495.97,-1616,2021-11-04
52,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2457,Open market or private sale of non-derivative or derivative security,Open Market Sale,3495.08,-2457,2021-11-04
53,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1618,Open market or private sale of non-derivative or derivative security,Open Market Sale,3493.8,-1618,2021-11-04
54,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3492.83,-1300,2021-11-04
55,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-700,Open market or private sale of non-derivative or derivative security,Open Market Sale,3491.82,-700,2021-11-04
56,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1099,Open market or private sale of non-derivative or derivative security,Open Market Sale,3490.77,-1099,2021-11-04
57,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3489.81,-2300,2021-11-04
58,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-930,Open market or private sale of non-derivative or derivative security,Open Market Sale,3488.82,-930,2021-11-04
59,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,3487.42,-400,2021-11-04
60,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1934,Open market or private sale of non-derivative or derivative security,Open Market Sale,3486.18,-1934,2021-11-04
61,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1400,Open market or private sale of non-derivative or derivative security,Open Market Sale,3485.04,-1400,2021-11-04
62,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2121,Open market or private sale of non-derivative or derivative security,Open Market Sale,3484.25,-2121,2021-11-04
63,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1467,Open market or private sale of non-derivative or derivative security,Open Market Sale,3483.01,-1467,2021-11-04
64,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1804,Open market or private sale of non-derivative or derivative security,Open Market Sale,3482.1,-1804,2021-11-04
65,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1071,Open market or private sale of non-derivative or derivative security,Open Market Sale,3480.95,-1071,2021-11-04
66,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1859,Open market or private sale of non-derivative or derivative security,Open Market Sale,3479.82,-1859,2021-11-04
67,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3478.45,-1200,2021-11-04
68,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1238,Open market or private sale of non-derivative or derivative security,Open Market Sale,3477.47,-1238,2021-11-04
69,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,3476.21,-400,2021-11-04
70,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2000,Open market or private sale of non-derivative or derivative security,Open Market Sale,3475.21,-2000,2021-11-04
71,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1092,Open market or private sale of non-derivative or derivative security,Open Market Sale,3474.3,-1092,2021-11-04
72,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-900,Open market or private sale of non-derivative or derivative security,Open Market Sale,3473.3,-900,2021-11-04
73,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-393,Open market or private sale of non-derivative or derivative security,Open Market Sale,3471.76,-393,2021-11-04
74,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3469.63,-100,2021-11-04
75,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3433.01,-200,2021-11-04
76,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-245,Open market or private sale of non-derivative or derivative security,Open Market Sale,3431.93,-245,2021-11-04
77,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-800,Open market or private sale of non-derivative or derivative security,Open Market Sale,3429.86,-800,2021-11-04
78,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3429.1,-300,2021-11-04
