Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2022-01-03,3351.0,3414.07,3323.21,3408.09,3193457
2022-01-04,3408.76,3428.0,3326.99,3350.44,3536258
2022-01-05,3337.66,3342.525,3287.14,3287.14,3215136
2022-01-06,3269.01,3296.0,3238.7442,3265.08,2597889
2022-01-07,3276.78,3304.865,3240.62,3251.08,2330295
2022-01-10,3211.71,3233.23,3126.09,3229.72,4389915
2022-01-11,3230.0,3327.0,3214.03,3307.24,3140279
2022-01-12,3331.5,3337.56,3288.34,3304.14,2501456
2022-01-13,3305.01,3324.4299,3221.82,3224.28,2609415
2022-01-14,3203.0,3245.0,3196.01,3242.76,2298743
2022-01-18,3182.1,3194.6899,3153.29,3178.35,3372072
2022-01-19,3175.24,3185.0,3125.0,3125.98,2662096
2022-01-20,3135.32,3160.0,3027.02,3033.35,3598666
2022-01-21,2999.0,3018.0,2841.408,2852.86,8198572
2022-01-24,2780.0,2898.9,2707.04,2890.88,7802237
2022-01-25,2844.85,2872.0,2762.9,2799.72,4541233
2022-01-26,2895.0,2903.695,2746.37,2777.45,4780085
2022-01-27,2816.0,2884.87,2787.0,2792.75,3875790
2022-01-28,2817.21,2879.96,2758.585,2879.56,3719599
2022-01-31,2895.0,3007.21,2886.0101,2991.47,3915372
2022-02-01,3000.0,3034.16,2952.5548,3023.87,2960992
2022-02-02,3101.0085,3101.5,2977.2717,3012.25,4366488
2022-02-03,2834.75,2884.95,2766.66,2776.91,11276568
2022-02-04,3112.13,3224.0,3012.16,3152.79,12672793
2022-02-07,3170.4,3253.815,3145.0,3158.71,5131219
2022-02-08,3135.01,3235.85,3111.01,3228.27,3802018
2022-02-09,3257.47,3276.69,3205.0,3223.79,3439280
2022-02-10,3167.0,3214.33,3155.0,3180.07,3413406
2022-02-11,3162.6902,3180.0,3054.675,3065.87,3855022
2022-02-14,3035.02,3168.9663,3033.0,3103.34,4161535
2022-02-15,3152.11,3160.14,3092.75,3130.21,2848533
2022-02-16,3115.81,3176.68,3094.69,3162.01,2635214
2022-02-17,3162.92,3206.975,3090.0,3093.05,3201625
2022-02-18,3109.99,3109.99,3017.86,3052.03,3180205
2022-02-22,3009.57,3059.65,2969.71,3003.95,3306412
2022-02-23,3033.01,3035.26,2893.02,2896.54,3212178
2022-02-24,2796.75,3034.98,2790.0,3027.16,5039288
2022-02-25,3011.0,3079.8,2984.27,3075.77,3119768
2022-02-28,3048.5,3089.0,3017.0,3071.26,2884171
2022-03-01,3054.65,3081.98,2999.54,3022.84,2243679
2022-03-02,3016.98,3059.99,2975.0,3041.05,2366736
2022-03-03,3070.63,3078.58,2937.12,2957.97,3259860
2022-03-04,2943.18,2957.0,2876.14,2912.82,3049156
